24 - 120, 24 - 224, 24 - 172, 23 - 214, 22 - 212, 22 - 206, 22 - 159, 22 - 155, 22 - 291, 22 - 136
21 - 136, 21 - 245, 21 - 167, 21 - 208, 21 - 223, 21 - 130, 21 - 288, 21 - 238, 21 - 152, 21 - 105

24 - 254, 24 - 298, 24 - 116, 24 - 108, 23 - 287, 23 - 203, 23 - 126, 23 - 192, 22 - 257, 22 - 122
21 - 289, 21 - 188, 21 - 298, 20 - 157, 19 - 109, 19 - 116, 18 - 100, 18 - 291, 18 - 279, 18 - 181
17 - 232, 17 - 285, 17 - 289, 17 - 186, 16 - 121, 16 - 289, 16 - 140, 16 - 104, 16 - 201, 16 - 224

24 - 124, 24 - 249, 24 - 159, 24 - 123, 23 - 295, 23 - 253, 23 - 192, 23 - 170, 23 - 170, 23 - 166
22 - 180, 22 - 259, 22 - 139, 22 - 108, 22 - 116, 21 - 229, 21 - 163, 21 - 171, 21 - 205, 20 - 160
19 - 174, 19 - 210, 19 - 201, 18 - 168, 18 - 118, 18 - 256, 18 - 255, 18 - 182, 17 - 229, 17 - 205
16 - 249, 16 - 122, 16 - 282, 15 - 255, 15 - 149, 15 - 234, 14 - 137, 14 - 296, 14 - 148, 14 - 122

